IDENT,LATITUDE,LONGITUDE
ATTOL,212200.0,1132726.0
BEKOL,223236.0,1140800.0
BREAM,214646.0,1140328.0
CONGA,214402.0,1164706.0
DAGON,19.088333,111.865
DOFIN,210357.0,1114846.0
DOTMI,224306.0,1161006.0
DULOP,181412.0,1143236.0
DUMOL,190000.0,1142648.0
ELATO,222000.0,1173000.0
ENBOK,183324.0,1132930.0
ENVAR,215930.0,1173000.0
EPDOS,190000.0,1133318.0
EPKAL,175130.0,1125718.0
FL010,22.3123,113.9468
FL035,22.326225,113.989192
FL040,22.329011,113.997669
FL070,22.345711,114.048536
FL120,22.373508,114.133336
FL141,22.385167,114.168956
GRUPA,205044.0,1155659.0
GUAVA,220936.0,1140336.0
IDOSI,190000.0,1123000.0
IKELA,183942.0,1121442.0
KAPLI,211000.0,1173000.0
KILOG,215227.0,1144137.0
LAKES,215841.0,1145439.0
LIMES,22.107111,113.775722
LKC04,22.400689,113.951775
LOTUS,22.388406,114.184739
MAGOG,221746.0,1154930.0
MALIN,22.281861,113.807944
NEDLE,22.387208,114.699297
NLG21,22.212833,113.721667
NLG22,22.1975,113.729167
NOMAN,200000.0,1164018.0
OCEAN,214843.0,1144848.0
PERCH,213035.0,1135522.0
PLOVE,22.418333,114.232833
PORPA,22.335861,114.021194
PRAWN,22.268167,113.811139
R1686,22.310914,113.897964
R1687,22.307431,113.932822
R1688,22.296675,113.899442
R1689,22.321117,113.929625
RASSE,214734.0,1151949.0
RENNY,22.264728,113.800417
RIVER,22.402097,114.181731
ROACH,22.341992,114.035839
SABNO,185906.0,1155042.0
SAMPU,22.427553,114.261164
SANDI,202346.0,1134458.0
SILVA,21.851333,113.903
SMT01,22.306019,113.884069
SMT02,22.291808,113.885428
SMT06,22.264144,113.800625
SMT40,22.289267,113.83315
SMT41,22.275019,113.834608
SMT52,22.278078,113.799278
SMT53,22.281997,113.811139
SMT54,22.267747,113.812589
SMT83,22.2652,113.760333
SMT84,22.250956,113.761792
SMT85,22.264081,113.756942
SMT86,22.249839,113.758414
SOKOE,22.078111,113.843917
SOUSA,220110.0,1161128.0
TD343,22.373992,114.245056
TFR01,22.32665,113.946606
TFR04,22.342703,113.994517
TFR07,22.359406,114.045383
TFR11,22.380992,114.116331
TFR14,22.398522,114.169114
TFR75,22.362189,114.053867
TOLOE,22.358611,114.252222
TUNNA,214725.0,1135754.0
WAYEL,193042.0,1125712.0
ACORN,201735.0,1144406.0
ASOBA,172222.0,1143413.0
ASTRA,221628.0,1151135.0
ATENA,222440.0,1142312.0
BAKER,211302.0,1143907.0
CHALI,211745.0,1133641.0
CHERY,202249.0,1150457.0
COLEY,22.111397,114.310453
CORAL,205152.0,1130507.0
CUTLE,215704.0,1140702.0
DENIM,19.815278,1152335.0
DOSUT,170200.0,1134048.0
EATON,21.123444,115.716972
FOXTR,214536.0,1132200.0
GINJA,203948.0,1120216.0
HELIX,21.113333,1164745.0
HERON,211948.0,1135334.0
INDUS,220241.0,1133601.0
LOGAN,21.987833,115.269028
MANGO,213649.0,1143053.0
MELON,221610.0,1150047.0
MONTA,213333.0,1161200.0
MULET,213502.0,1134752.0
PAPA,215839.0,1133922.0
RAMEN,220939.0,1140510.0
ROBIN,210245.0,1141606.0
ROCKY,195140.0,1142543.0
ROMEO,215154.0,1132723.0
RUBIC,21.507833,113.801306
SAMMI,222800.0,1155742.0
SIERA,215912.0,1133312.0
SIKOU,205036.0,1113000.0
SKATE,213155.0,1150840.0
TAMAR,221521.0,1143037.0
TAMOT,222130.0,1135200.0
TROUT,214755.0,1141613.0
WILOW,212002.0,1143208.0
